pwsid,supply_name,county,year,lines_replaced
MI0003960,LUDINGTON,MASON,2023,68
MI0003980,"MACKINAW CITY, VILLAGE OF",CHEBOYGAN,2023,5
MI0004000,MADISON HEIGHTS,OAKLAND,2023,7
MI0004010,MANCELONA AREA WATER AND SEWER AUTHORITY,ANTRIM,2023,8
MI0004020,MANCHESTER,WASHTENAW,2023,20
MI0004030,"MANISTEE, CITY OF",MANISTEE,2023,19
MI0004040,MANISTIQUE,SCHOOLCRAFT,2023,6
MI0004050,"MANTON, CITY OF",WEXFORD,2023,5
MI0004070,MARCELLUS,CASS,2023,126
MI0004150,MARSHALL,CALHOUN,2023,4
MI0004160,"MARYSVILLE, CITY OF",ST. CLAIR,2023,4
MI0004170,"MASON, CITY OF",INGHAM,2023,13
MI0004220,MELVINDALE,WAYNE,2023,407
MI0004240,MENDON,ST. JOSEPH,2023,4
MI0004250,MENOMINEE,MENOMINEE,2023,89
MI0004360,MIDDLEVILLE,BARRY,2023,6
MI0004370,"MIDLAND, CITY OF",MIDLAND,2023,2
MI0004380,MILAN,WASHTENAW,2023,12
MI0004390,"MILFORD, VILLAGE OF",OAKLAND,2023,24
MI0004450,MONROE,MONROE,2023,85
MI0004470,MONTAGUE,MUSKEGON,2023,46
MI0004510,"MOUNT CLEMENS, CITY OF",MACOMB,2023,13
MI0004520,"MOUNT MORRIS, CITY OF",GENESEE,2023,6
MI0004560,MUNISING,ALGER,2023,4
MI0004570,MUSKEGON,MUSKEGON,2023,446
MI0004580,MUSKEGON HEIGHTS,MUSKEGON,2023,249
MI0004620,NASHVILLE,BARRY,2023,163
MI0004650,NEGAUNEE,MARQUETTE,2023,4
MI0004710,NEWAYGO,NEWAYGO,2023,8
MI0004720,NEWBERRY WATER & LIGHT,LUCE,2023,4
MI0004740,NILES,BERRIEN,2023,33
MI0004780,NORTH MUSKEGON,MUSKEGON,2023,22
MI0004830,NORTHVILLE,WAYNE,2023,17
MI0004850,NORTON SHORES,MUSKEGON,2023,20
MI0004860,NORWAY,DICKINSON,2023,6
MI0004880,OAK PARK,OAKLAND,2023,1
MI0005034,ORONOKO TOWNSHIP,BERRIEN,2023,9
MI0005060,OTSEGO,ALLEGAN,2023,21
MI0005100,"OVID, CITY OF",CLINTON,2023,3
MI0005120,"OWOSSO, CITY OF",SHIAWASSEE,2023,362
MI0005130,"OXFORD, VILLAGE OF",OAKLAND,2023,50
MI0005210,PAW PAW,VAN BUREN,2023,68
MI0005260,PENTWATER,OCEANA,2023,16
MI0005280,"PERRY, CITY OF",SHIAWASSEE,2023,6
MI0005300,"PETOSKEY, CITY OF",EMMET,2023,23
MI0005390,PLEASANT RIDGE,OAKLAND,2023,1
MI0005400,PLYMOUTH,WAYNE,2023,8
MI0005420,PLYMOUTH TOWNSHIP,WAYNE,2023,1
MI0005440,PONTIAC,OAKLAND,2023,258
MI0005480,"PORT HURON, CITY OF",ST. CLAIR,2023,61
MI0005580,QUINCY,BRANCH,2023,32
MI0005590,QUINNESEC,DICKINSON,2023,19
MI0005620,READING,HILLSDALE,2023,4
MI0005640,REDFORD TOWNSHIP,WAYNE,2023,109
MI0005650,"REED CITY, CITY OF",OSCEOLA,2023,54
MI0005690,RIVER ROUGE,WAYNE,2023,97
