pwsid,supply_name,lead_lines,gpcl_lines,non_lead_lines,unknown_lines,total_lines,calc_total,inventory_status,total_mismatch
MI0005543   ,"POSEN, VILLAGE OF",0.0,0.0,120.0,0.0,120.0,120.0,complete,False
MI0005549   ,LAKE MICHIGAN BEACH RESORT POTTAWATTAMIE,0.0,0.0,2.0,0.0,2.0,2.0,complete,False
MI0005550   ,"POTTERVILLE, CITY OF",0.0,0.0,737.0,0.0,737.0,737.0,complete,False
MI0005563   ,POWERS-SPALDING WATER AUTHORITY,0.0,0.0,169.0,0.0,169.0,169.0,complete,False
MI0005566   ,PRAIRIE VILLAGE APARTMENTS,0.0,0.0,6.0,0.0,6.0,6.0,complete,False
MI0005570   ,PRESCOTT-HIDDEN CREEK MANOR,0.0,0.0,3.0,0.0,3.0,3.0,complete,False
MI0005573   ,OAKLAND HUNT SUBDIVISION,0.0,0.0,262.0,0.0,262.0,262.0,complete,False
MI0005575   ,PRESQUE ISLE HARBOR WATER CO.,0.0,0.0,309.0,29.0,338.0,338.0,complete,False
MI0005577   ,LAKESHORE VILLAGE SUBDIVISION,,,51.0,,51.0,51.0,incomplete,False
MI0005580   ,QUINCY,0.0,50.0,697.0,18.0,766.0,765.0,complete,True
MI0005585   ,FRANKLIN-QUINCY WATER AUTHORITY,0.0,0.0,43.0,0.0,43.0,43.0,complete,False
MI0005590   ,QUINNESEC,101.0,79.0,330.0,0.0,510.0,510.0,complete,False
MI0005600   ,BESSEMER TOWNSHIP,30.0,0.0,140.0,242.0,412.0,412.0,complete,False
MI0005606   ,WEST PARK APARTMENTS,0.0,0.0,6.0,0.0,6.0,6.0,complete,False
MI0005607   ,RAPID RIVER MEADOWS,0.0,0.0,20.0,0.0,20.0,20.0,complete,False
MI0005610   ,RAVENNA,0.0,0.0,574.0,0.0,574.0,574.0,complete,False
MI0005620   ,READING,0.0,46.0,481.0,,527.0,527.0,incomplete,False
MI0005640   ,REDFORD TOWNSHIP,94.0,0.0,15310.0,4922.0,20326.0,20326.0,complete,False
MI0005650   ,"REED CITY, CITY OF",66.0,192.0,672.0,0.0,930.0,930.0,complete,False
MI0005655   ,REMUS APARTMENT COMPANY,0.0,0.0,2.0,0.0,2.0,2.0,complete,False
MI0005660   ,REPUBLIC TOWNSHIP,0.0,5.0,250.0,69.0,324.0,324.0,complete,False
