pwsid,year,county_for_checking,lines_replaced
MI0004880,2024,OAKLAND,1
MI0004990,2024,EATON,1
MI0005010,2021,PRESQUE ISLE,5
MI0005010,2022,PRESQUE ISLE,10
MI0005010,2024,PRESQUE ISLE,116
MI0005020,2024,LENAWEE,107
MI0005034,2021,BERRIEN,2
MI0005034,2022,BERRIEN,3
MI0005034,2023,BERRIEN,9
MI0005034,2024,BERRIEN,6
MI0005060,2021,ALLEGAN,8
MI0005060,2022,ALLEGAN,11
MI0005060,2023,ALLEGAN,21
MI0005060,2024,ALLEGAN,36
MI0005100,2023,CLINTON,3
MI0005100,2024,CLINTON,174
MI0005120,2021,SHIAWASSEE,85
MI0005120,2022,SHIAWASSEE,236
MI0005120,2023,SHIAWASSEE,362
MI0005120,2024,SHIAWASSEE,276
MI0005130,2021,OAKLAND,16
MI0005130,2022,OAKLAND,32
MI0005130,2023,OAKLAND,50
MI0005130,2024,OAKLAND,47
MI0005210,2021,VAN BUREN,3
MI0005210,2022,VAN BUREN,432
MI0005210,2023,VAN BUREN,68
MI0005210,2024,VAN BUREN,19
MI0005240,2024,LUCE,1
MI0005260,2022,OCEANA,1
MI0005260,2023,OCEANA,16
MI0005267,2021,MASON,1
MI0005280,2021,SHIAWASSEE,2
MI0005280,2022,SHIAWASSEE,1
MI0005280,2023,SHIAWASSEE,6
MI0005280,2024,SHIAWASSEE,6
MI0005300,2021,EMMET,5
MI0005300,2022,EMMET,10
MI0005300,2023,EMMET,23
MI0005300,2024,EMMET,5
MI0005320,2021,HURON,5
MI0005320,2022,HURON,1
MI0005390,2021,OAKLAND,33
MI0005390,2022,OAKLAND,3
MI0005390,2023,OAKLAND,1
MI0005390,2024,OAKLAND,72
MI0005400,2021,WAYNE,9
MI0005400,2022,WAYNE,1
MI0005400,2023,WAYNE,8
MI0005400,2024,WAYNE,26
MI0005420,2021,WAYNE,3
MI0005420,2022,WAYNE,3
MI0005420,2023,WAYNE,1
MI0005420,2024,WAYNE,16
MI0005440,2021,OAKLAND,146
MI0005440,2022,OAKLAND,133
MI0005440,2023,OAKLAND,258
MI0005440,2024,OAKLAND,314
MI0005480,2021,ST. CLAIR,4
MI0005480,2022,ST. CLAIR,7
MI0005480,2023,ST. CLAIR,61
MI0005480,2024,ST. CLAIR,22
MI0005490,2021,ST. CLAIR,1
MI0005490,2024,ST. CLAIR,1
MI0005530,2022,IONIA,1
MI0005530,2024,IONIA,103
MI0005580,2023,BRANCH,32
MI0005590,2021,DICKINSON,3
MI0005590,2023,DICKINSON,19
MI0005590,2024,DICKINSON,5
MI0005600,2021,GOGEBIC,3
MI0005620,2023,HILLSDALE,4
MI0005640,2022,WAYNE,12
MI0005640,2023,WAYNE,109
MI0005640,2024,WAYNE,30
MI0005650,2021,OSCEOLA,24
MI0005650,2022,OSCEOLA,34
MI0005650,2023,OSCEOLA,54
MI0005650,2024,OSCEOLA,100
MI0005660,2024,MARQUETTE,4
MI0005670,2024,MACOMB,1
MI0005690,2023,WAYNE,97
MI0005690,2024,WAYNE,139
MI0005710,2021,WAYNE,7
MI0005710,2022,WAYNE,8
MI0005710,2023,WAYNE,7
MI0005710,2024,WAYNE,23
MI0005720,2021,OAKLAND,18
MI0005720,2022,OAKLAND,10
MI0005720,2023,OAKLAND,6
