pwsid,system_name,county,population,monitoring_end_date,lead_90th_ppb,includes_5th_liter_or_not,sampling_next_due_subject_to_change,year,month
MI0000240,"ARMADA, VILLAGE OF",MACOMB,1794.0,2021-12-31,5.0,Y,2024-09-30 00:00:00,2021.0,12.0
MI0000242,ARTESIAN SPRINGS RV RESORT,EMMET,61.0,2023-12-31,5.0,N,2024-06-30 00:00:00,2023.0,12.0
MI0000242,ARTESIAN SPRINGS RV RESORT,EMMET,61.0,2024-06-30,4.0,N,2027-09-30 00:00:00,2024.0,6.0
MI0000245,ASH TOWNSHIP,MONROE,6450.0,2017-12-31,0.0,N,2019-09-30 00:00:00,2017.0,12.0
MI0000245,ASH TOWNSHIP,MONROE,6450.0,2019-12-31,14.0,Y,2020-09-30 00:00:00,2019.0,12.0
MI0000245,ASH TOWNSHIP,MONROE,7350.0,2020-12-31,0.0,Y,2021-09-30 00:00:00,2020.0,12.0
MI0000245,ASH TOWNSHIP,MONROE,5959.0,2021-12-31,2.0,Y,2022-09-30 00:00:00,2021.0,12.0
MI0000245,ASH TOWNSHIP,MONROE,5959.0,2022-12-31,1.0,Y,2023-09-30 00:00:00,2022.0,12.0
MI0000245,ASH TOWNSHIP,MONROE,5959.0,2023-12-31,1.0,Y,2024-09-30 00:00:00,2023.0,12.0
MI0000250,"ASHLEY, VILLAGE OF",GRATIOT,526.0,2018-12-31,2.0,N,2021-09-30 00:00:00,2018.0,12.0
MI0000250,"ASHLEY, VILLAGE OF",GRATIOT,526.0,2021-12-31,1.0,N,2024-09-30 00:00:00,2021.0,12.0
MI0000260,ATHENS,CALHOUN,1024.0,2018-12-31,2.0,N,2019-09-30 00:00:00,2018.0,12.0
MI0000260,ATHENS,CALHOUN,1024.0,2019-12-31,0.0,N,2020-06-30 00:00:00,2019.0,12.0
MI0000260,ATHENS,CALHOUN,1024.0,2020-06-30,1.0,N,2020-12-31 00:00:00,2020.0,6.0
MI0000260,ATHENS,CALHOUN,936.0,2021-06-30,0.0,N,2022-09-30 00:00:00,2021.0,6.0
MI0000260,ATHENS,CALHOUN,936.0,2022-12-31,0.0,N,2023-09-30 00:00:00,2022.0,12.0
MI0000260,ATHENS,CALHOUN,956.0,2023-12-31,1.0,N,2024-09-30 00:00:00,2023.0,12.0
MI0000285,AU GRES TOWNSHIP,ARENAC,66.0,2020-06-30,2.0,N,2020-12-31 00:00:00,2020.0,6.0
MI0000285,AU GRES TOWNSHIP,ARENAC,66.0,2020-12-31,4.0,N,2022-09-30 00:00:00,2020.0,12.0
MI0000285,AU GRES TOWNSHIP,ARENAC,66.0,2021-12-31,5.0,N,2022-09-30 00:00:00,2021.0,12.0
MI0000285,AU GRES TOWNSHIP,ARENAC,66.0,2023-12-31,2.0,N,2026-09-30 00:00:00,2023.0,12.0
MI0000280,"AU GRES, CITY OF",ARENAC,889.0,2017-12-31,2.0,N,2020-09-30 00:00:00,2017.0,12.0
MI0000280,"AU GRES, CITY OF",ARENAC,889.0,2020-12-31,10.0,N,2023-09-30 00:00:00,2020.0,12.0
MI0000280,"AU GRES, CITY OF",ARENAC,889.0,2023-12-31,4.0,N,2026-09-30 00:00:00,2023.0,12.0
MI0000290,AU SABLE TOWNSHIP,IOSCO,2047.0,2016-12-31,2.0,N,2019-09-30 00:00:00,2016.0,12.0
MI0000290,AU SABLE TOWNSHIP,IOSCO,2047.0,2019-12-31,3.0,N,2022-09-30 00:00:00,2019.0,12.0
MI0000290,AU SABLE TOWNSHIP,IOSCO,2047.0,2022-12-31,2.0,N,2025-09-30 00:00:00,2022.0,12.0
MI0000300,AUBURN,BAY,2087.0,2016-12-31,3.0,N,2019-09-30 00:00:00,2016.0,12.0
MI0000300,AUBURN,BAY,2087.0,2019-12-31,13.0,N,2020-09-30 00:00:00,2019.0,12.0
MI0000300,AUBURN,BAY,2087.0,2020-12-31,2.0,N,2021-09-30 00:00:00,2020.0,12.0
MI0000300,AUBURN,BAY,2087.0,2021-12-31,4.0,N,2022-09-30 00:00:00,2021.0,12.0
MI0000300,AUBURN,BAY,2087.0,2022-12-31,2.0,N,2023-09-30 00:00:00,2022.0,12.0
MI0000300,AUBURN,BAY,2087.0,2023-12-31,2.0,N,2024-09-30 00:00:00,2023.0,12.0
MI0005450,AUBURN HILLS,OAKLAND,21412.0,2017-12-31,0.0,N,2019-09-30 00:00:00,2017.0,12.0
MI0005450,AUBURN HILLS,OAKLAND,21412.0,2019-12-31,0.0,N,2020-09-30 00:00:00,2019.0,12.0
MI0005450,AUBURN HILLS,OAKLAND,21412.0,2020-12-31,0.0,N,2021-09-30 00:00:00,2020.0,12.0
MI0005450,AUBURN HILLS,OAKLAND,21412.0,2021-12-31,0.0,N,2022-09-30 00:00:00,2021.0,12.0
MI0005450,AUBURN HILLS,OAKLAND,21412.0,2022-12-31,0.0,N,2023-09-30 00:00:00,2022.0,12.0
MI0005450,AUBURN HILLS,OAKLAND,21412.0,2023-12-31,1.0,N,2024-09-30 00:00:00,2023.0,12.0
MI0000320,AUGUSTA,KALAMAZOO,885.0,2018-12-31,0.0,N,2021-09-30 00:00:00,2018.0,12.0
MI0000320,AUGUSTA,KALAMAZOO,885.0,2021-12-31,1.0,N,2024-09-30 00:00:00,2021.0,12.0
MI0000321,AUGUSTA TOWNSHIP,WASHTENAW,3907.0,2017-12-31,0.0,N,2019-09-30 00:00:00,2017.0,12.0
MI0000321,AUGUSTA TOWNSHIP,WASHTENAW,3907.0,2019-12-31,1.0,N,2020-09-30 00:00:00,2019.0,12.0
MI0000321,AUGUSTA TOWNSHIP,WASHTENAW,3907.0,2020-12-31,1.0,N,2021-09-30 00:00:00,2020.0,12.0
MI0000321,AUGUSTA TOWNSHIP,WASHTENAW,3907.0,2021-12-31,0.0,N,2022-09-30 00:00:00,2021.0,12.0
MI0000321,AUGUSTA TOWNSHIP,WASHTENAW,3907.0,2022-12-31,2.0,N,2023-09-30 00:00:00,2022.0,12.0
MI0000321,AUGUSTA TOWNSHIP,WASHTENAW,3907.0,2023-12-31,3.0,N,2024-09-30 00:00:00,2023.0,12.0
MI0000324,AUSABLE VALLEY COMMUNITY,OSCODA,147.0,2018-12-31,0.0,N,2019-09-30 00:00:00,2018.0,12.0
MI0000324,AUSABLE VALLEY COMMUNITY,OSCODA,147.0,2019-09-30,48.0,N,2020-06-30 00:00:00,2019.0,9.0
